date,count
2016-03-31,2.806451612903226
2016-03-30,2.806451612903226
2016-03-29,2.806451612903226
2016-03-28,2.806451612903226
2016-03-27,2.806451612903226
2016-03-26,2.806451612903226
2016-03-25,2.806451612903226
2016-03-24,2.806451612903226
2016-03-23,2.806451612903226
2016-03-22,2.806451612903226
2016-03-21,2.806451612903226
2016-03-20,2.806451612903226
2016-03-19,2.806451612903226
2016-03-18,2.806451612903226
2016-03-17,2.806451612903226
2016-03-16,2.806451612903226
2016-03-15,2.806451612903226
2016-03-14,2.806451612903226
2016-03-13,2.806451612903226
2016-03-12,2.806451612903226
2016-03-11,2.806451612903226
2016-03-10,2.806451612903226
2016-03-9,2.806451612903226
2016-03-8,2.806451612903226
2016-03-7,2.806451612903226
2016-03-6,2.806451612903226
2016-03-5,2.806451612903226
2016-03-4,2.806451612903226
2016-03-3,2.806451612903226
2016-03-2,2.806451612903226
2016-03-1,2.806451612903226
2016-04-30,4.0
2016-04-29,4.0
2016-04-28,4.0
2016-04-27,4.0
2016-04-26,4.0
2016-04-25,4.0
2016-04-24,4.0
2016-04-23,4.0
2016-04-22,4.0
2016-04-21,4.0
2016-04-20,4.0
2016-04-19,4.0
2016-04-18,4.0
2016-04-17,4.0
2016-04-16,4.0
2016-04-15,4.0
2016-04-14,4.0
2016-04-13,4.0
2016-04-12,4.0
2016-04-11,4.0
2016-04-10,4.0
2016-04-9,4.0
2016-04-8,4.0
2016-04-7,4.0
2016-04-6,4.0
2016-04-5,4.0
2016-04-4,4.0
2016-04-3,4.0
2016-04-2,4.0
2016-04-1,4.0
2016-05-31,3.129032258064516
2016-05-30,3.129032258064516
2016-05-29,3.129032258064516
2016-05-28,3.129032258064516
2016-05-27,3.129032258064516
2016-05-26,3.129032258064516
2016-05-25,3.129032258064516
2016-05-24,3.129032258064516
2016-05-23,3.129032258064516
2016-05-22,3.129032258064516
2016-05-21,3.129032258064516
2016-05-20,3.129032258064516
2016-05-19,3.129032258064516
2016-05-18,3.129032258064516
2016-05-17,3.129032258064516
2016-05-16,3.129032258064516
2016-05-15,3.129032258064516
2016-05-14,3.129032258064516
2016-05-13,3.129032258064516
2016-05-12,3.129032258064516
2016-05-11,3.129032258064516
2016-05-10,3.129032258064516
2016-05-9,3.129032258064516
2016-05-8,3.129032258064516
2016-05-7,3.129032258064516
2016-05-6,3.129032258064516
2016-05-5,3.129032258064516
2016-05-4,3.129032258064516
2016-05-3,3.129032258064516
2016-05-2,3.129032258064516
2016-05-1,3.129032258064516
2016-06-30,4.233333333333333
2016-06-29,4.233333333333333
2016-06-28,4.233333333333333
2016-06-27,4.233333333333333
2016-06-26,4.233333333333333
2016-06-25,4.233333333333333
2016-06-24,4.233333333333333
2016-06-23,4.233333333333333
2016-06-22,4.233333333333333
2016-06-21,4.233333333333333
2016-06-20,4.233333333333333
2016-06-19,4.233333333333333
2016-06-18,4.233333333333333
2016-06-17,4.233333333333333
2016-06-16,4.233333333333333
2016-06-15,4.233333333333333
2016-06-14,4.233333333333333
2016-06-13,4.233333333333333
2016-06-12,4.233333333333333
2016-06-11,4.233333333333333
2016-06-10,4.233333333333333
2016-06-9,4.233333333333333
2016-06-8,4.233333333333333
2016-06-7,4.233333333333333
2016-06-6,4.233333333333333
2016-06-5,4.233333333333333
2016-06-4,4.233333333333333
2016-06-3,4.233333333333333
2016-06-2,4.233333333333333
2016-06-1,4.233333333333333
2016-07-31,4.225806451612903
2016-07-30,4.225806451612903
2016-07-29,4.225806451612903
2016-07-28,4.225806451612903
2016-07-27,4.225806451612903
2016-07-26,4.225806451612903
2016-07-25,4.225806451612903
2016-07-24,4.225806451612903
2016-07-23,4.225806451612903
2016-07-22,4.225806451612903
2016-07-21,4.225806451612903
2016-07-20,4.225806451612903
2016-07-19,4.225806451612903
2016-07-18,4.225806451612903
2016-07-17,4.225806451612903
2016-07-16,4.225806451612903
2016-07-15,4.225806451612903
2016-07-14,4.225806451612903
2016-07-13,4.225806451612903
2016-07-12,4.225806451612903
2016-07-11,4.225806451612903
2016-07-10,4.225806451612903
2016-07-9,4.225806451612903
2016-07-8,4.225806451612903
2016-07-7,4.225806451612903
2016-07-6,4.225806451612903
2016-07-5,4.225806451612903
2016-07-4,4.225806451612903
2016-07-3,4.225806451612903
2016-07-2,4.225806451612903
2016-07-1,4.225806451612903
2016-08-31,3.903225806451613
2016-08-30,3.903225806451613
2016-08-29,3.903225806451613
2016-08-28,3.903225806451613
2016-08-27,3.903225806451613
2016-08-26,3.903225806451613
2016-08-25,3.903225806451613
2016-08-24,3.903225806451613
2016-08-23,3.903225806451613
2016-08-22,3.903225806451613
2016-08-21,3.903225806451613
2016-08-20,3.903225806451613
2016-08-19,3.903225806451613
2016-08-18,3.903225806451613
2016-08-17,3.903225806451613
2016-08-16,3.903225806451613
2016-08-15,3.903225806451613
2016-08-14,3.903225806451613
2016-08-13,3.903225806451613
2016-08-12,3.903225806451613
2016-08-11,3.903225806451613
2016-08-10,3.903225806451613
2016-08-9,3.903225806451613
2016-08-8,3.903225806451613
2016-08-7,3.903225806451613
2016-08-6,3.903225806451613
2016-08-5,3.903225806451613
2016-08-4,3.903225806451613
2016-08-3,3.903225806451613
2016-08-2,3.903225806451613
2016-08-1,3.903225806451613
2016-09-30,2.933333333333333
2016-09-29,2.933333333333333
2016-09-28,2.933333333333333
2016-09-27,2.933333333333333
2016-09-26,2.933333333333333
2016-09-25,2.933333333333333
2016-09-24,2.933333333333333
2016-09-23,2.933333333333333
2016-09-22,2.933333333333333
2016-09-21,2.933333333333333
